Customer_ID,First_Name,Last_Name,Email,City,Region,Latitude,Longitude,Segment,Loyalty_Score,Loyalty_Level,Interaction_ID,Campaign_Name,Channel,Response,Interaction_Date
CUST0001,Danielle,Johnson,danielle.johnson.cust0001@example.com,Cork,Munster,51.8985,-8.4756,Regular,60,Medium,INT01394,Clearance Deal,Social Media,Purchased,2024-01-05
CUST0001,Danielle,Johnson,danielle.johnson.cust0001@example.com,Cork,Munster,51.8985,-8.4756,Regular,60,Medium,INT00428,Clearance Deal,Social Media,No Action,2024-03-11
CUST0001,Danielle,Johnson,danielle.johnson.cust0001@example.com,Cork,Munster,51.8985,-8.4756,Regular,60,Medium,INT01394,Clearance Deal,Social Media,Purchased,2024-08-15
CUST0001,Danielle,Johnson,danielle.johnson.cust0001@example.com,Cork,Munster,51.8985,-8.4756,Regular,60,Medium,INT01394,Clearance Deal,Social Media,Purchased,2024-06-12
CUST0001,Danielle,Johnson,danielle.johnson.cust0001@example.com,Cork,Munster,51.8985,-8.4756,Regular,60,Medium,INT00382,Summer Sale,Social Media,No Action,2024-01-23
CUST0001,Danielle,Johnson,danielle.johnson.cust0001@example.com,Cork,Munster,51.8985,-8.4756,Regular,60,Medium,INT00880,Clearance Deal,SMS,Purchased,2024-03-14
CUST0002,Joy,Gardner,jesse.guzman.cust0002@example.com,Galway,Connacht,53.2707,-9.0568,Regular,50,Low,INT00892,Loyalty Bonus,App Notification,Purchased,2024-04-09
CUST0002,Joy,Gardner,jesse.guzman.cust0002@example.com,Galway,Connacht,53.2707,-9.0568,Regular,50,Low,INT00892,Loyalty Bonus,App Notification,Purchased,2024-11-24
CUST0003,Carolyn,Hoffman,colin.abbott.cust0003@example.com,Cork,Munster,51.8985,-8.4756,High Value,70,Medium,INT01152,Loyalty Bonus,App Notification,Purchased,2024-08-11
CUST0003,Carolyn,Hoffman,colin.abbott.cust0003@example.com,Cork,Munster,51.8985,-8.4756,High Value,70,Medium,INT01330,Summer Sale,App Notification,No Action,2024-03-06
CUST0003,Carolyn,Hoffman,colin.abbott.cust0003@example.com,Cork,Munster,51.8985,-8.4756,High Value,70,Medium,INT01152,Loyalty Bonus,App Notification,Purchased,2024-03-23
CUST0003,Carolyn,Hoffman,colin.abbott.cust0003@example.com,Cork,Munster,51.8985,-8.4756,High Value,70,Medium,INT00131,New Arrival,Social Media,Purchased,2024-04-16
CUST0003,Carolyn,Hoffman,colin.abbott.cust0003@example.com,Cork,Munster,51.8985,-8.4756,High Value,70,Medium,INT01152,Loyalty Bonus,App Notification,Purchased,2024-04-15
CUST0004,Katherine,Moore,brandon.perez.cust0004@example.com,Cork,Munster,51.8985,-8.4756,High Value,40,Low,INT00509,Clearance Deal,App Notification,Purchased,2024-04-15
CUST0004,Katherine,Moore,brandon.perez.cust0004@example.com,Cork,Munster,51.8985,-8.4756,High Value,40,Low,INT00509,Clearance Deal,App Notification,Purchased,2024-10-12
CUST0005,Christopher,Davis,jacqueline.sutton.cust0005@example.com,Dublin,Leinster,53.3498,-6.2603,High Value,50,Low,INT00414,Loyalty Bonus,Email,Purchased,2024-02-10
CUST0005,Christopher,Davis,jacqueline.sutton.cust0005@example.com,Dublin,Leinster,53.3498,-6.2603,High Value,50,Low,INT00414,Loyalty Bonus,Email,Purchased,2024-09-09
CUST0005,Christopher,Davis,jacqueline.sutton.cust0005@example.com,Dublin,Leinster,53.3498,-6.2603,High Value,50,Low,INT00757,New Arrival,Email,No Action,2024-06-10
CUST0006,Teresa,Gray,jeremy.johnson.cust0006@example.com,Dublin,Leinster,53.3498,-6.2603,High Value,70,Medium,INT00755,Loyalty Bonus,Email,No Action,2024-07-20
CUST0006,Teresa,Gray,jeremy.johnson.cust0006@example.com,Dublin,Leinster,53.3498,-6.2603,High Value,70,Medium,INT00570,Clearance Deal,Social Media,Purchased,2024-07-12
CUST0006,Teresa,Gray,jeremy.johnson.cust0006@example.com,Dublin,Leinster,53.3498,-6.2603,High Value,70,Medium,INT00755,Loyalty Bonus,Email,No Action,2024-03-20
CUST0007,Jeremy,Roberts,douglas.taylor.cust0007@example.com,Sligo,Connacht,54.2742,-8.4694,Regular,80,High,INT00760,New Arrival,Social Media,No Action,2024-12-19
CUST0007,Jeremy,Roberts,douglas.taylor.cust0007@example.com,Sligo,Connacht,54.2742,-8.4694,Regular,80,High,INT00703,New Arrival,Email,Purchased,2024-02-19
CUST0007,Jeremy,Roberts,douglas.taylor.cust0007@example.com,Sligo,Connacht,54.2742,-8.4694,Regular,80,High,INT00703,New Arrival,Email,Purchased,2024-05-16
CUST0007,Jeremy,Roberts,douglas.taylor.cust0007@example.com,Sligo,Connacht,54.2742,-8.4694,Regular,80,High,INT00703,New Arrival,Email,Purchased,2024-11-08
CUST0008,Michael,Santiago,bryan.james.cust0008@example.com,Waterford,Munster,52.2593,-7.1101,Occasional,40,Low,INT00173,Loyalty Bonus,Social Media,Purchased,2024-02-06
CUST0008,Michael,Santiago,bryan.james.cust0008@example.com,Waterford,Munster,52.2593,-7.1101,Occasional,40,Low,INT00625,Clearance Deal,SMS,No Action,2024-05-08
CUST0008,Michael,Santiago,bryan.james.cust0008@example.com,Waterford,Munster,52.2593,-7.1101,Occasional,40,Low,INT01311,Clearance Deal,App Notification,Purchased,2024-04-10
CUST0009,Jeffrey,Nguyen,shawn.mckay.cust0009@example.com,Limerick,Munster,52.6638,-8.6267,Occasional,80,High,INT00473,Loyalty Bonus,Social Media,Purchased,2024-01-13
CUST0009,Jeffrey,Nguyen,shawn.mckay.cust0009@example.com,Limerick,Munster,52.6638,-8.6267,Occasional,80,High,INT01366,Clearance Deal,Email,No Action,2024-01-07
CUST0012,Jeffrey,Bright,debra.kim.cust0012@example.com,Kilkenny,Leinster,52.6541,-7.2448,Regular,80,High,INT00150,Clearance Deal,Email,Purchased,2024-05-20
CUST0013,Courtney,Conner,brian.jones.cust0013@example.com,Waterford,Munster,52.2593,-7.1101,Regular,60,Medium,INT00968,Clearance Deal,Social Media,No Action,2024-02-23
CUST0013,Courtney,Conner,brian.jones.cust0013@example.com,Waterford,Munster,52.2593,-7.1101,Regular,60,Medium,INT00097,Summer Sale,Email,Purchased,2024-03-23
CUST0013,Courtney,Conner,brian.jones.cust0013@example.com,Waterford,Munster,52.2593,-7.1101,Regular,60,Medium,INT00968,Clearance Deal,Social Media,No Action,2024-06-16
CUST0013,Courtney,Conner,brian.jones.cust0013@example.com,Waterford,Munster,52.2593,-7.1101,Regular,60,Medium,INT00774,Clearance Deal,Social Media,Purchased,2024-01-23
CUST0014,Allison,Maddox,james.davis.cust0014@example.com,Athlone,Leinster,53.4239,-7.9407,High Value,30,Low,INT00608,New Arrival,Email,No Action,2024-03-15
CUST0015,Ryan,Chavez,shane.henderson.cust0015@example.com,Cork,Munster,51.8985,-8.4756,High Value,50,Low,INT00202,Loyalty Bonus,Social Media,No Action,2024-10-18
CUST0015,Ryan,Chavez,shane.henderson.cust0015@example.com,Cork,Munster,51.8985,-8.4756,High Value,50,Low,INT01210,New Arrival,Social Media,No Action,2024-02-16
CUST0017,Sarah,Koch,lee.williams.cust0017@example.com,Cork,Munster,51.8985,-8.4756,Occasional,80,High,INT00071,New Arrival,SMS,No Action,2024-01-10
CUST0017,Sarah,Koch,lee.williams.cust0017@example.com,Cork,Munster,51.8985,-8.4756,Occasional,80,High,INT01268,Clearance Deal,Social Media,No Action,2024-08-06
CUST0017,Sarah,Koch,lee.williams.cust0017@example.com,Cork,Munster,51.8985,-8.4756,Occasional,80,High,INT00071,New Arrival,SMS,No Action,2024-04-23
CUST0017,Sarah,Koch,lee.williams.cust0017@example.com,Cork,Munster,51.8985,-8.4756,Occasional,80,High,INT00648,Summer Sale,Social Media,Purchased,2024-06-12
CUST0018,Christopher,Tucker,david.zamora.cust0018@example.com,Waterford,Munster,52.2593,-7.1101,High Value,80,High,INT01338,New Arrival,App Notification,Purchased,2024-01-16
CUST0018,Christopher,Tucker,david.zamora.cust0018@example.com,Waterford,Munster,52.2593,-7.1101,High Value,80,High,INT00523,New Arrival,App Notification,Purchased,2024-07-07
CUST0018,Christopher,Tucker,david.zamora.cust0018@example.com,Waterford,Munster,52.2593,-7.1101,High Value,80,High,INT00773,Loyalty Bonus,Social Media,Purchased,2024-10-20
CUST0018,Christopher,Tucker,david.zamora.cust0018@example.com,Waterford,Munster,52.2593,-7.1101,High Value,80,High,INT00866,Clearance Deal,App Notification,No Action,2024-11-06
CUST0019,Sarah,Campos,john.foster.cust0019@example.com,Cork,Munster,51.8985,-8.4756,High Value,60,Medium,INT00987,New Arrival,App Notification,No Action,2024-09-06
CUST0019,Sarah,Campos,john.foster.cust0019@example.com,Cork,Munster,51.8985,-8.4756,High Value,60,Medium,INT00007,Loyalty Bonus,App Notification,Purchased,2024-08-16
CUST0019,Sarah,Campos,john.foster.cust0019@example.com,Cork,Munster,51.8985,-8.4756,High Value,60,Medium,INT00007,Loyalty Bonus,App Notification,Purchased,2024-11-17
CUST0019,Sarah,Campos,john.foster.cust0019@example.com,Cork,Munster,51.8985,-8.4756,High Value,60,Medium,INT00007,Loyalty Bonus,App Notification,Purchased,2024-04-16
CUST0019,Sarah,Campos,john.foster.cust0019@example.com,Cork,Munster,51.8985,-8.4756,High Value,60,Medium,INT00966,Clearance Deal,SMS,No Action,2024-05-09
CUST0020,Brianna,Hall,nicole.suarez.cust0020@example.com,Kilkenny,Leinster,52.6541,-7.2448,Regular,60,Medium,INT00524,Summer Sale,App Notification,No Action,2024-02-12
CUST0020,Brianna,Hall,nicole.suarez.cust0020@example.com,Kilkenny,Leinster,52.6541,-7.2448,Regular,60,Medium,INT00524,Summer Sale,App Notification,No Action,2024-10-08
CUST0020,Brianna,Hall,nicole.suarez.cust0020@example.com,Kilkenny,Leinster,52.6541,-7.2448,Regular,60,Medium,INT00882,Clearance Deal,App Notification,Purchased,2024-04-06
